campaign_id,title,slug,source,github_path,category,status_directory,original_length_label,session_min,session_max,normalized_length,ip_status,duplicate_status,readiness_score,recommended_next_action,audit_confidence
ir-brick-by-brick,Brick By Brick,brick-by-brick,GitHub,campaign-ideas/Completed/Fantasy/brick-by-brick,Fantasy,Completed,,20,20,Medium,Original/clear,Unreviewed,80,Manual editorial review,Medium
ir-broadcast-anomaly,Broadcast Anomaly,broadcast-anomaly,GitHub,campaign-ideas/Sci-Fi/broadcast-anomaly,Sci-Fi,Active/genre,,22,28,Long,Original/clear,Unreviewed,53,Manual editorial review,Medium
ir-by-order-of-the-blades,By Order Of The Blades,by-order-of-the-blades,GitHub,campaign-ideas/Completed/Historical/by-order-of-the-blades,Historical,Completed,,12,15,Medium,Original/clear,Unreviewed,65,Manual editorial review,Medium
ir-calypsos-death-derby,Calypsos Death Derby,calypsos-death-derby,GitHub,campaign-ideas/Completed/Horror/calypsos-death-derby,Horror,Completed,,15,20,Medium,Original/clear,Unreviewed,77,Manual editorial review,Medium
ir-camp-half-blood-chronicles,Camp Half Blood Chronicles,camp-half-blood-chronicles,GitHub,campaign-ideas/Completed/Fantasy/camp-half-blood-chronicles,Fantasy,Completed,,12,15,Medium,Original/clear,Unreviewed,80,Manual editorial review,Medium
ir-can-you-dig-it,Can You Dig It,can-you-dig-it,GitHub,campaign-ideas/Completed/Urban/can-you-dig-it,Urban,Completed,,15,20,Medium,Original/clear,Unreviewed,70,Manual editorial review,Medium
ir-capsuleer-empires,Capsuleer Empires,capsuleer-empires,GitHub,campaign-ideas/Sci-Fi/capsuleer-empires,Sci-Fi,Active/genre,,,,Unknown,Original/clear,Unreviewed,47,Manual editorial review,Medium
ir-careful-what-you-wish,Careful What You Wish,careful-what-you-wish,GitHub,campaign-ideas/Completed/Fantasy/careful-what-you-wish,Fantasy,Completed,,12,15,Medium,Original/clear,Unreviewed,80,Manual editorial review,Medium
ir-cartel-wars,Cartel Wars,cartel-wars,GitHub,campaign-ideas/Completed/Urban/cartel-wars,Urban,Completed,,35,45,Epic,Original/clear,Unreviewed,62,Manual editorial review,Medium
ir-caverns-of-madness,Caverns Of Madness,caverns-of-madness,GitHub,campaign-ideas/Completed/Horror/caverns-of-madness,Horror,Completed,,4,6,Short,Original/clear,Unreviewed,71,Manual editorial review,Medium
ir-central-city-noir,Central City Noir,central-city-noir,GitHub,campaign-ideas/Completed/Urban/central-city-noir,Urban,Completed,,12,15,Medium,Original/clear,Unreviewed,77,Manual editorial review,Medium
ir-checkmate-protocol,Checkmate Protocol,checkmate-protocol,GitHub,campaign-ideas/Completed/Fantasy/checkmate-protocol,Fantasy,Completed,,18,18,Medium,Original/clear,Unreviewed,81,Manual editorial review,Medium
ir-children-of-the-angels,Children Of The Angels,children-of-the-angels,GitHub,campaign-ideas/Sci-Fi/children-of-the-angels,Sci-Fi,Active/genre,,12,15,Medium,Original/clear,Unreviewed,64,Manual editorial review,Medium
ir-children-of-the-night,Children Of The Night,children-of-the-night,GitHub,campaign-ideas/Completed/Horror/children-of-the-night,Horror,Completed,,10,13,Medium,Original/clear,Unreviewed,71,Manual editorial review,Medium
ir-children-of-the-planet,Children Of The Planet,children-of-the-planet,GitHub,campaign-ideas/Completed/Fantasy/children-of-the-planet,Fantasy,Completed,,20,30,Long,Original/clear,Unreviewed,70,Manual editorial review,Medium
ir-children-of-the-stars,Children Of The Stars,children-of-the-stars,GitHub,campaign-ideas/Completed/Fantasy/children-of-the-stars,Fantasy,Completed,,24,24,Long,Original/clear,Unreviewed,71,Manual editorial review,Medium
ir-chrome-flesh,Chrome Flesh,chrome-flesh,GitHub,campaign-ideas/Sci-Fi/chrome-flesh,Sci-Fi,Active/genre,,25,25,Long,Original/clear,Unreviewed,52,Manual editorial review,Medium
ir-chronicles-of-the-damned,Chronicles Of The Damned,chronicles-of-the-damned,GitHub,campaign-ideas/Completed/Fantasy/chronicles-of-the-damned,Fantasy,Completed,,,,Unknown,Original/clear,Unreviewed,70,Manual editorial review,Medium
ir-chronicles-of-the-somnolent-oracle,Chronicles Of The Somnolent Oracle,chronicles-of-the-somnolent-oracle,GitHub,campaign-ideas/Completed/Fantasy/chronicles-of-the-somnolent-oracle,Fantasy,Completed,,28,28,Long,Original/clear,Unreviewed,71,Manual editorial review,Medium
ir-chronos-investigations-inc,Chronos Investigations Inc,chronos-investigations-inc,GitHub,campaign-ideas/Sci-Fi/chronos-investigations-inc,Sci-Fi,Active/genre,,10,12,Medium,Original/clear,Unreviewed,60,Manual editorial review,Medium
ir-circuits-of-silicon-vale,Circuits Of Silicon Vale,circuits-of-silicon-vale,GitHub,campaign-ideas/Sci-Fi/circuits-of-silicon-vale,Sci-Fi,Active/genre,,30,30,Long,Original/clear,Unreviewed,53,Manual editorial review,Medium
ir-city-of-angels-city-of-sin,City Of Angels City Of Sin,city-of-angels-city-of-sin,GitHub,campaign-ideas/Completed/Urban/city-of-angels-city-of-sin,Urban,Completed,,10,12,Medium,Original/clear,Unreviewed,77,Manual editorial review,Medium
ir-clash-of-olympus,Clash Of Olympus,clash-of-olympus,GitHub,campaign-ideas/Completed/Fantasy/clash-of-olympus,Fantasy,Completed,,18,22,Medium,Original/clear,Unreviewed,80,Manual editorial review,Medium
ir-classical-symphony-kingdom,Classical Symphony Kingdom,classical-symphony-kingdom,GitHub,campaign-ideas/Completed/Fantasy/classical-symphony-kingdom,Fantasy,Completed,,,,Unknown,Original/clear,Exact-slug candidate (2 packages),38,Add/identify primary campaign document,Low
ir-classical-symphony-kingdom,Classical Symphony Kingdom,classical-symphony-kingdom,GitHub,campaign-ideas/Fantasy/classical-symphony-kingdom,Fantasy,Active/genre,,22,22,Long,Original/clear,Exact-slug candidate (2 packages),64,Manual editorial review,Medium
ir-clockwork-elemental,Clockwork Elemental,clockwork-elemental,GitHub,campaign-ideas/Completed/Fantasy/clockwork-elemental,Fantasy,Completed,,,,Unknown,Original/clear,Exact-slug candidate (2 packages),38,Add/identify primary campaign document,Low
ir-clockwork-elemental,Clockwork Elemental,clockwork-elemental,GitHub,campaign-ideas/Fantasy/clockwork-elemental,Fantasy,Active/genre,,12,12,Medium,Original/clear,Exact-slug candidate (2 packages),67,Manual editorial review,Medium
ir-cloverfield-emergence,Cloverfield Emergence,cloverfield-emergence,GitHub,campaign-ideas/Completed/Horror/cloverfield-emergence,Horror,Completed,,1,1,Micro/one-shot,Original/clear,Unreviewed,74,Manual editorial review,Medium
ir-colossal-regret,Colossal Regret,colossal-regret,GitHub,campaign-ideas/Completed/Horror/colossal-regret,Horror,Completed,,24,24,Long,Original/clear,Unreviewed,67,Manual editorial review,Medium
ir-colossus-ascent,Colossus Ascent,colossus-ascent,GitHub,campaign-ideas/Completed/Fantasy/colossus-ascent,Fantasy,Completed,,,,Unknown,Needs transformation,Exact-slug candidate (2 packages),28,Add/identify primary campaign document,Low
ir-colossus-ascent,Colossus Ascent,colossus-ascent,GitHub,campaign-ideas/Fantasy/colossus-ascent,Fantasy,Active/genre,,25,40,Long,Original/clear,Exact-slug candidate (2 packages),84,Manual editorial review,Medium
ir-combat-healer-chronicles,Combat Healer Chronicles,combat-healer-chronicles,GitHub,campaign-ideas/Completed/Fantasy/combat-healer-chronicles,Fantasy,Completed,,,,Unknown,Needs transformation,Exact-slug candidate (2 packages),28,Add/identify primary campaign document,Low
ir-combat-healer-chronicles,Combat Healer Chronicles,combat-healer-chronicles,GitHub,campaign-ideas/Fantasy/combat-healer-chronicles,Fantasy,Active/genre,,7,8,Short,Original/clear,Exact-slug candidate (2 packages),77,Manual editorial review,Medium
ir-commanders-war,Commanders War,commanders-war,GitHub,campaign-ideas/Sci-Fi/commanders-war,Sci-Fi,Active/genre,,20,25,Long,Original/clear,Unreviewed,56,Manual editorial review,Medium
ir-concrete-dreams,Concrete Dreams,concrete-dreams,GitHub,campaign-ideas/Completed/Fantasy/concrete-dreams,Fantasy,Completed,,,,Unknown,Original/clear,Exact-slug candidate (2 packages),38,Add/identify primary campaign document,Low
ir-concrete-dreams,Concrete Dreams,concrete-dreams,GitHub,campaign-ideas/Fantasy/concrete-dreams,Fantasy,Active/genre,,25,25,Long,Original/clear,Exact-slug candidate (2 packages),65,Manual editorial review,Medium
ir-conquistadors-new-world,Conquistadors New World,conquistadors-new-world,GitHub,campaign-ideas/Completed/Historical/conquistadors-new-world,Historical,Completed,,12,15,Medium,Original/clear,Unreviewed,71,Manual editorial review,Medium
ir-contractors-of-hells-gate,Contractors Of Hells Gate,contractors-of-hells-gate,GitHub,campaign-ideas/Sci-Fi/contractors-of-hells-gate,Sci-Fi,Active/genre,,14,16,Medium,Original/clear,Unreviewed,56,Manual editorial review,Medium
ir-corporate-shadow-wars,Corporate Shadow Wars,corporate-shadow-wars,GitHub,campaign-ideas/Sci-Fi/corporate-shadow-wars,Sci-Fi,Active/genre,,24,24,Long,Original/clear,Unreviewed,50,Manual editorial review,Medium
ir-country-western-frontier,Country Western Frontier,country-western-frontier,GitHub,campaign-ideas/Completed/Fantasy/country-western-frontier,Fantasy,Completed,,,,Unknown,Original/clear,Exact-slug candidate (2 packages),38,Add/identify primary campaign document,Low
ir-country-western-frontier,Country Western Frontier,country-western-frontier,GitHub,campaign-ideas/Fantasy/country-western-frontier,Fantasy,Active/genre,,20,20,Medium,Original/clear,Exact-slug candidate (2 packages),50,Manual editorial review,Medium
ir-court-of-redemption,Court Of Redemption,court-of-redemption,GitHub,campaign-ideas/Completed/Adventure/court-of-redemption,Adventure,Completed,,15,20,Medium,Original/clear,Unreviewed,77,Manual editorial review,Medium
ir-courts-of-the-sidhe,Courts Of The Sidhe,courts-of-the-sidhe,GitHub,campaign-ideas/Completed/Fantasy/courts-of-the-sidhe,Fantasy,Completed,,,,Unknown,Original/clear,Exact-slug candidate (2 packages),38,Add/identify primary campaign document,Low
ir-courts-of-the-sidhe,Courts Of The Sidhe,courts-of-the-sidhe,GitHub,campaign-ideas/Fantasy/courts-of-the-sidhe,Fantasy,Active/genre,,14,18,Medium,Original/clear,Exact-slug candidate (2 packages),53,Manual editorial review,Medium
ir-coyote-runs-with-wolves,Coyote Runs With Wolves,coyote-runs-with-wolves,GitHub,campaign-ideas/Completed/Fantasy/coyote-runs-with-wolves,Fantasy,Completed,,,,Unknown,Original/clear,Exact-slug candidate (2 packages),38,Add/identify primary campaign document,Low
ir-coyote-runs-with-wolves,Coyote Runs With Wolves,coyote-runs-with-wolves,GitHub,campaign-ideas/Fantasy/coyote-runs-with-wolves,Fantasy,Active/genre,,15,20,Medium,Original/clear,Exact-slug candidate (2 packages),59,Manual editorial review,Medium
ir-crash-and-burn-paradise,Crash And Burn Paradise,crash-and-burn-paradise,GitHub,campaign-ideas/Completed/Urban/crash-and-burn-paradise,Urban,Completed,,12,18,Medium,Original/clear,Unreviewed,70,Manual editorial review,Medium
ir-crisis-of-infinite-realms,Crisis Of Infinite Realms,crisis-of-infinite-realms,GitHub,campaign-ideas/Completed/Fantasy/crisis-of-infinite-realms,Fantasy,Completed,,,,Unknown,Original/clear,Exact-slug candidate (2 packages),38,Add/identify primary campaign document,Low
ir-crisis-of-infinite-realms,Crisis Of Infinite Realms,crisis-of-infinite-realms,GitHub,campaign-ideas/Fantasy/crisis-of-infinite-realms,Fantasy,Active/genre,,,,Unknown,Original/clear,Exact-slug candidate (2 packages),60,Manual editorial review,Medium
ir-crossing-the-rubicon,Crossing The Rubicon,crossing-the-rubicon,GitHub,campaign-ideas/Historical/crossing-the-rubicon,Historical,Active/genre,,,,Unknown,Original/clear,Unreviewed,58,Manual editorial review,Medium
ir-crouching-tiger-hidden-dragon,Crouching Tiger Hidden Dragon,crouching-tiger-hidden-dragon,GitHub,campaign-ideas/Completed/Fantasy/crouching-tiger-hidden-dragon,Fantasy,Completed,,,,Unknown,Needs transformation,Exact-slug candidate (2 packages),28,Add/identify primary campaign document,Low
ir-crouching-tiger-hidden-dragon,Crouching Tiger Hidden Dragon,crouching-tiger-hidden-dragon,GitHub,campaign-ideas/Fantasy/crouching-tiger-hidden-dragon,Fantasy,Active/genre,,16,20,Medium,Needs transformation,Exact-slug candidate (2 packages),51,Manual editorial review,Medium
ir-crystal-caverns-conspiracy,Crystal Caverns Conspiracy,crystal-caverns-conspiracy,GitHub,campaign-ideas/Completed/Fantasy/crystal-caverns-conspiracy,Fantasy,Completed,,,,Unknown,Needs transformation,Exact-slug candidate (2 packages),28,Add/identify primary campaign document,Low
ir-crystal-caverns-conspiracy,Crystal Caverns Conspiracy,crystal-caverns-conspiracy,GitHub,campaign-ideas/Fantasy/crystal-caverns-conspiracy,Fantasy,Active/genre,,8,8,Short,Original/clear,Exact-slug candidate (2 packages),61,Manual editorial review,Medium
ir-curse-of-the-black-pearl,Curse Of The Black Pearl,curse-of-the-black-pearl,GitHub,campaign-ideas/Completed/Fantasy/curse-of-the-black-pearl,Fantasy,Completed,,,,Unknown,Needs transformation,Exact-slug candidate (2 packages),28,Add/identify primary campaign document,Low
ir-curse-of-the-black-pearl,Curse Of The Black Pearl,curse-of-the-black-pearl,GitHub,campaign-ideas/Fantasy/curse-of-the-black-pearl,Fantasy,Active/genre,,20,30,Long,Needs transformation,Exact-slug candidate (2 packages),48,Manual editorial review,Medium
ir-curse-of-the-jersey-devil,Curse Of The Jersey Devil,curse-of-the-jersey-devil,GitHub,campaign-ideas/Completed/Horror/curse-of-the-jersey-devil,Horror,Completed,,10,15,Medium,Original/clear,Unreviewed,80,Manual editorial review,Medium
ir-curse-of-the-skinwalker,Curse Of The Skinwalker,curse-of-the-skinwalker,GitHub,campaign-ideas/Completed/Horror/curse-of-the-skinwalker,Horror,Completed,,10,15,Medium,Original/clear,Unreviewed,71,Manual editorial review,Medium
ir-curse-of-the-sorcerer-king,Curse Of The Sorcerer King,curse-of-the-sorcerer-king,GitHub,campaign-ideas/Completed/Fantasy/curse-of-the-sorcerer-king,Fantasy,Completed,,,,Unknown,Original/clear,Exact-slug candidate (2 packages),38,Add/identify primary campaign document,Low
ir-curse-of-the-sorcerer-king,Curse Of The Sorcerer King,curse-of-the-sorcerer-king,GitHub,campaign-ideas/Fantasy/curse-of-the-sorcerer-king,Fantasy,Active/genre,,15,20,Medium,Original/clear,Exact-slug candidate (2 packages),59,Manual editorial review,Medium
ir-cycle-of-the-reapers,Cycle Of The Reapers,cycle-of-the-reapers,GitHub,campaign-ideas/Sci-Fi/cycle-of-the-reapers,Sci-Fi,Active/genre,,30,40,Long,Original/clear,Unreviewed,59,Manual editorial review,Medium
ir-daemon-revolution,Daemon Revolution,daemon-revolution,GitHub,campaign-ideas/Completed/Fantasy/daemon-revolution,Fantasy,Completed,,,,Unknown,Original/clear,Exact-slug candidate (2 packages),38,Add/identify primary campaign document,Low
ir-daemon-revolution,Daemon Revolution,daemon-revolution,GitHub,campaign-ideas/Fantasy/daemon-revolution,Fantasy,Active/genre,,32,32,Long,Original/clear,Exact-slug candidate (2 packages),50,Manual editorial review,Medium
ir-daemons-of-the-dust,Daemons Of The Dust,daemons-of-the-dust,GitHub,campaign-ideas/Completed/Fantasy/daemons-of-the-dust,Fantasy,Completed,,,,Unknown,Original/clear,Exact-slug candidate (2 packages),38,Add/identify primary campaign document,Low
ir-daemons-of-the-dust,Daemons Of The Dust,daemons-of-the-dust,GitHub,campaign-ideas/Fantasy/daemons-of-the-dust,Fantasy,Active/genre,,12,15,Medium,Original/clear,Exact-slug candidate (2 packages),56,Manual editorial review,Medium
ir-dance-magic-dance,Dance Magic Dance,dance-magic-dance,GitHub,campaign-ideas/Completed/Fantasy/dance-magic-dance,Fantasy,Completed,,,,Unknown,Original/clear,Exact-slug candidate (2 packages),38,Add/identify primary campaign document,Low
ir-dance-magic-dance,Dance Magic Dance,dance-magic-dance,GitHub,campaign-ideas/Fantasy/dance-magic-dance,Fantasy,Active/genre,,6,8,Short,Original/clear,Exact-slug candidate (2 packages),56,Manual editorial review,Medium
ir-dead-witch-walking,Dead Witch Walking,dead-witch-walking,GitHub,campaign-ideas/Completed/Fantasy/dead-witch-walking,Fantasy,Completed,,,,Unknown,Original/clear,Exact-slug candidate (2 packages),38,Add/identify primary campaign document,Low
ir-dead-witch-walking,Dead Witch Walking,dead-witch-walking,GitHub,campaign-ideas/Fantasy/dead-witch-walking,Fantasy,Active/genre,,15,20,Medium,Original/clear,Exact-slug candidate (2 packages),59,Manual editorial review,Medium
ir-death-and-dynasty,Death And Dynasty,death-and-dynasty,GitHub,campaign-ideas/Completed/Fantasy/death-and-dynasty,Fantasy,Completed,,,,Unknown,Original/clear,Exact-slug candidate (2 packages),38,Add/identify primary campaign document,Low
ir-death-and-dynasty,Death And Dynasty,death-and-dynasty,GitHub,campaign-ideas/Fantasy/death-and-dynasty,Fantasy,Active/genre,,8,8,Short,Original/clear,Exact-slug candidate (2 packages),61,Manual editorial review,Medium
